Time,X,Y,Psi,Roll,Rollrate,Delta,Velocity
128.03,27.2986213664895,-47.211185196321,-0.215205463627177,-0.0295348817228303,-0.00146332214084995,0.0574837377536771,2.4
128.035,27.3104038277729,-47.2134597525645,-0.215205463627177,-0.0295423177822869,-0.00151125757365303,0.0574776266375918,2.4
128.04,27.3221862831212,-47.2157343395525,-0.214020731405339,-0.0295499958495383,-0.00156012883311439,0.0574715155215064,2.4
128.045,27.3339714217078,-47.2179949829332,-0.214020731405339,-0.0295578954421746,-0.001599830146969,0.0574708539326716,2.4
128.05,27.3457565596557,-47.220255629643,-0.212836251421099,-0.029565995363331,-0.00164026319838098,0.0574701923438368,2.4
128.055,27.3575443688821,-47.2225023057752,-0.212836251421099,-0.0295742752945387,-0.00167179790431528,0.0574747223155612,2.4
128.06,27.369332182454,-47.2247489591071,-0.211651798744063,-0.0295827142230406,-0.00170386446129368,0.0574792522872856,2.4
128.065,27.3811226554812,-47.2269816135351,-0.211651798744063,-0.0295912920156234,-0.00172730859703617,0.057488715799393,2.4
128.07,27.3929131375299,-47.2292142203206,-0.210467159091533,-0.0295999878651247,-0.00175108896783402,0.0574981793115004,2.4
128.075,27.4047062673189,-47.2314327986448,-0.210467159091533,-0.0296087818438966,-0.0017665266937049,0.0575123185839881,2.4
128.08,27.4164994105017,-47.2336513057709,-0.209282128830253,-0.0296176533708288,-0.00178210937139906,0.0575264578564758,2.4
128.085,27.4282951897901,-47.2358557537698,-0.209282128830253,-0.0296265827431655,-0.00178963257503668,0.0575450156321217,2.4
128.09,27.4400909865458,-47.2380601083003,-0.208096514966115,-0.0296355496252984,-0.00179711383668161,0.0575635734077677,2.4
128.095,27.4518894078258,-47.2402503720513,-0.208096514966115,-0.0296445345577299,-0.00179682174650912,0.057586293223881,2.4
128.1,27.4636878503531,-47.2424405213452,-0.206910135122272,-0.0296535174688181,-0.00179630526116208,0.0576090130399944,2.4
128.105,27.475488905864,-47.2446165472702,-0.206910135122272,-0.0296624790291851,-0.001788251629196,0.0576356677069628,2.4
128.11,27.48728998614,-47.2467924388846,-0.205722817506093,-0.0296713993138322,-0.00177979435397629,0.0576623223739312,2.4
128.115,27.4990936678607,-47.2489541737976,-0.205722817506093,-0.0296802594027776,-0.00176414507389754,0.0576926278214066,2.4
128.12,27.5108973775536,-47.2511157559692,-0.204534399700724,-0.0296890398056646,-0.00174791874296932,0.0577229332688819,2.4
128.125,27.522703677116,-47.2532631475589,-0.204534399700724,-0.0296977219335085,-0.00172480817299845,0.0577566287222817,2.4
128.13,27.5345100075733,-47.2554103692829,-0.203344731012739,-0.0297062866490632,-0.00170095208149315,0.0577903241756814,2.4
128.135,27.5463189162778,-47.257543366049,-0.203344731012739,-0.029714715668545,-0.00167050417906327,0.0578271598041071,2.4
128.14,27.5581278585301,-47.2596761770769,-0.202153671510541,-0.029722990180684,-0.00163914684973748,0.0578639954325328,2.4
128.145,27.5699393673421,-47.2617947283698,-0.202153671510541,-0.0297310922208515,-0.00160149113980998,0.0579037233544796,2.4
128.15,27.5817509120909,-47.2639130792954,-0.200961091572632,-0.0297390033177045,-0.00156276669019844,0.0579434512764265,2.4
128.155,27.5935650116258,-47.2660171354197,-0.200961091572632,-0.0297467058388873,-0.00151803792911902,0.0579858257718628,2.4
128.16,27.6053791492294,-47.2681209777803,-0.199766871807176,-0.0297541816660776,-0.00147208573068187,0.0580282002672991,2.4
128.165,27.6171958297399,-47.2702104900939,-0.199766871807176,-0.0297614135114913,-0.00142042357661122,0.0580729779809956,2.4
128.17,27.6290125502002,-47.2722997764695,-0.198570902962853,-0.0297683836220816,-0.00136738792054549,0.0581177556946921,2.4
128.175,27.6408318015636,-47.2743746974808,-0.198570902962853,-0.0297750750661359,-0.00130893661285768,0.0581646958296134,2.4
128.18,27.6526510945139,-47.2764493815897,-0.197373085831351,-0.0297814704673218,-0.00124896638502595,0.0582116359645346,2.4
128.185,27.6644729062216,-47.2785096650511,-0.197373085831351,-0.0297875532607204,-0.00118387443165677,0.0582605004660037,2.4
128.19,27.6762947609159,-47.2805697018426,-0.196173331141916,-0.0297933064573561,-0.00111712279559143,0.0583093649674727,2.4
128.195,27.6881191220635,-47.2826153028415,-0.196173331141916,-0.0297987138690673,-0.00104554266825016,0.0583599186982939,2.4
128.2,27.6999435273669,-47.2846606485861,-0.194971559448318,-0.0298037589041023,-0.000972166756145645,0.0584104724291151,2.4
128.205,27.711770426659,-47.2866915235523,-0.194971559448318,-0.0298084256126946,-0.000894195317551624,0.0584625152292657,2.4
128.21,27.7235973710806,-47.2887221356869,-0.193767701008625,-0.0298126976570237,-0.000814295204574898,0.0585145580294163,2.4
128.215,27.7354267968363,-47.2907382424014,-0.193767701008625,-0.0298165596312388,-0.000730151999119568,0.0585678272149175,2.4
128.22,27.7472562684494,-47.2927540800311,-0.192561694341627,-0.0298199957666411,-0.000643953372456976,0.0586210964004186,2.4
128.225,27.7590882085274,-47.2947553781056,-0.192561694341627,-0.0298229910598359,-0.000553801079079625,0.0586753665521817,2.4
128.23,27.7709201949817,-47.2967564019783,-0.191353488807927,-0.0298255301646617,-0.0004614712693316,0.0587296367039448,2.4
128.235,27.7827546368168,-47.2987428526937,-0.191353488807927,-0.0298275984872575,-0.000365475371839597,0.0587846859437246,2.4
128.24,27.7945891253453,-47.3007290252096,-0.19014304307199,-0.0298291811109173,-0.000267184503332966,0.0588397351835045,2.4
128.245,27.8064260559438,-47.3027005915919,-0.19014304307199,-0.0298302638577703,-0.000165513040741164,0.0588953452969386,2.4
128.25,27.8182630333583,-47.3046718768785,-0.18893032495624,-0.0298308322468493,-6.14337786781499e-05,0.0589509554103727,2.4
128.255,27.8301024392948,-47.3066285237716,-0.18893032495624,-0.0298308725220753,4.5742917528988e-05,0.0590069119735131,2.4
128.26,27.8419418919829,-47.308584887756,-0.187715311290092,-0.0298303706438353,0.000155435633385068,0.0590628685366536,2.4
128.265,27.853783759398,-47.3105265818916,-0.187715311290092,-0.0298293132830163,0.000267945191301046,0.0591189610327888,2.4
128.27,27.8656256733206,-47.3124679923697,-0.186497987753763,-0.0298276868463338,0.000383074402047607,0.0591750535289241,2.4
128.275,27.8774699879195,-47.3143947024344,-0.186497987753763,-0.029825478436205,0.00050074265420061,0.0592310754577952,2.4
128.28,27.8893143486094,-47.3163211291372,-0.185278348717262,-0.0298226749100261,0.000621129629910159,0.0592870973866663,2.4
128.285,27.9011610956618,-47.3182328258363,-0.185278348717262,-0.0298192638057157,0.000743780851013229,0.059342846366253,2.4
128.29,27.9130078882236,-47.3201442404935,-0.184056397074865,-0.0298152324350989,0.000869245331625671,0.0593985953458398,2.4
128.295,27.9248570525638,-47.3220408966121,-0.184056397074865,-0.0298105687749924,0.000996702469302615,0.0594538732068902,2.4
128.3,27.9367062616741,-47.3239372730127,-0.182832144075391,-0.029805260594812,0.00112706289837884,0.0595091510679406,2.4
128.305,27.9485578277172,-47.3258188633828,-0.182832144075391,-0.0297992961466427,0.00125921465663854,0.0595637999112545,2.4
128.31,27.9604094376697,-47.3277001771593,-0.181605609148562,-0.0297926634881816,0.00139435690202177,0.0596184487545683,2.4
128.315,27.9722633894266,-47.3295666786297,-0.181605609148562,-0.02978535148409,0.00153095653306501,0.0596722408922497,2.4
128.32,27.9841173840585,-47.3314329077853,-0.180376818242853,-0.029777348828453,0.00167062773825454,0.0597260330299311,2.4
128.325,27.9959737050683,-47.3332842997226,-0.180376818242853,-0.0297686448319309,0.0018114954477505,0.0597787834310387,2.4
128.33,28.0078300677829,-47.3351354245629,-0.179145806706707,-0.0297592286525368,0.00195551142284735,0.0598315338321462,2.4
128.335,28.0196887411603,-47.3369716886299,-0.179145806706707,-0.0297490900481498,0.00210046696250666,0.0598830619983479,2.4
128.34,28.0315474549436,-47.3388076917345,-0.177912617527844,-0.0297382186416552,0.0022486431057781,0.0599345901645496,2.4
128.345,28.0434084633832,-47.3406288119364,-0.177912617527844,-0.0297266046389281,0.00239750595092218,0.0599847201800933,2.4
128.35,28.0552695108086,-47.3424496782048,-0.176677301146369,-0.029714238128221,0.00254965742836798,0.060034850195637,2.4
128.355,28.0671328365909,-47.3442556409337,-0.176677301146369,-0.0297011097636973,0.00270224697201347,0.0600834107839922,2.4
128.36,28.0789961998244,-47.3460613576288,-0.175439915265792,-0.029687210098979,0.0028581889139088,0.0601319713723474,2.4
128.365,28.0908618248217,-47.3478521517041,-0.175439915265792,-0.0296725302363524,0.00301432465054971,0.0601787959445933,2.4
128.37,28.1027274856284,-47.3496427084934,-0.174200524661694,-0.0296570611943451,0.00317387233748378,0.0602256205168392,2.4
128.375,28.1145953913115,-47.3514183252006,-0.174200524661694,-0.0296407945227579,0.00333337404050815,0.0602705472141404,2.4
128.38,28.1264633310619,-47.3531937141938,-0.172959200988367,-0.0296237217041105,0.00349634308295218,0.0603154739114416,2.4
128.385,28.1383334257522,-47.3549546378136,-0.172959200988367,-0.0296067303568443,0.00329931840979037,0.0601648382458312,2.4
128.39,28.1502034071322,-47.3567163250696,-0.171716022583685,-0.0295907372603994,0.00309702797762197,0.0600142025802209,2.4
128.395,28.162075460629,-47.3584639937239,-0.171716022583685,-0.0295757242374177,0.00290734689442399,0.0598732309409253,2.4
128.4,28.1739474088871,-47.360212377124,-0.170479062898331,-0.0295616721021483,0.00271265866961971,0.0597322593016296,2.4
128.405,28.1858214098813,-47.3619467647254,-0.170479062898331,-0.0295485619220525,0.00253062238199895,0.0596008339581591,2.4
128.41,28.1976953135123,-47.3636818187659,-0.169247922846137,-0.0295363737569735,0.00234383901581712,0.0594694086146887,2.4
128.415,28.2095712510768,-47.3654028960249,-0.169247922846137,-0.0295250885164294,0.00216950884644289,0.0593472811246095,2.4
128.42,28.2214470988636,-47.3671245926629,-0.168022208226233,-0.0295146861221441,0.00199068744563013,0.0592251536345302,2.4
128.425,28.2333249623038,-47.3688323280252,-0.168022208226233,-0.0295051471411306,0.00182419887689625,0.0591121199451362,2.4
128.43,28.245202743298,-47.3705406367287,-0.166801535116626,-0.0294964511656133,0.00165347277082728,0.0589990862557421,2.4
128.435,28.2570825221698,-47.3722349961745,-0.166801535116626,-0.0294885784607981,0.00149494495620775,0.0588949357860074,2.4
128.44,28.2689622256723,-47.3739298839788,-0.165585528039315,-0.0294815083308012,0.00133243096624609,0.0587907853162727,2.4
128.445,28.2808439097477,-47.3756108311858,-0.165585528039315,-0.0294752207783974,0.00118196726273901,0.0586953014413392,2.4
128.45,28.2927255252743,-47.3772922628552,-0.164373820227566,-0.0294696948596278,0.00102776624193578,0.0585998175664057,2.4
128.455,28.3046091045074,-47.3789597593603,-0.164373820227566,-0.0294649103528344,0.000885454764829361,0.0585127781061928,2.4
128.46,28.3164926217556,-47.3806276975469,-0.163166053873307,-0.0294608461046001,0.000739652160615049,0.0584257386459799,2.4
128.465,28.3283780862504,-47.3822817029066,-0.163166053873307,-0.029457481705494,0.000605566322569218,0.0583469163367286,2.4
128.47,28.3402634950677,-47.383936108308,-0.161961880354489,-0.0294547958298821,0.000468232723491192,0.0582680940274772,2.4
128.475,28.3521508350467,-47.3855765802562,-0.161961880354489,-0.0294527679159069,0.000342431763215426,0.0581972569793513,2.4
128.48,28.3640381253993,-47.3872174117714,-0.16076096044309,-0.0294513765016104,0.000213623435129399,0.0581264199312253,2.4
128.485,28.3759273311733,-47.3888443063757,-0.16076096044309,-0.0294506009067669,9.61529357968319e-05,0.0580633320721898,2.4
128.49,28.3878164931167,-47.3904715212591,-0.159562964494363,-0.0294504195676644,-2.40876523471179e-05,0.0580002442131543,2.4
128.495,28.3997075550559,-47.3920847930748,-0.159562964494363,-0.0294508117185051,-0.000133195254817289,0.0579446657193481,2.4
128.5,28.4115985787056,-47.393698347088,-0.158367572617876,-0.0294517557270961,-0.000244838915461497,0.0578890872255419,2.4
128.505,28.4234914872209,-47.3952979492393,-0.158367572617876,-0.029453230644669,-0.000345512040710988,0.057840802807681,2.4
128.51,28.4353843627543,-47.3968977965889,-0.157174474830904,-0.0294552146693889,-0.000448489304042108,0.05779251838982,2.4
128.515,28.4472791082791,-47.3984836808525,-0.157174474830904,-0.0294576869594099,-0.000540772785993232,0.0577512523565758,2.4
128.52,28.4591738258583,-47.4000697747045,-0.155983370044381,-0.0294606258421151,-0.000635133277751051,0.0577099863233315,2.4
128.525,28.4710703987761,-47.4016418920058,-0.155983370044381,-0.029464010481291,-0.00071903123027024,0.0576754900483212,2.4
128.53,28.482966948536,-47.403214184538,-0.154793968554832,-0.0294678192282795,-0.000804782673628533,0.0576409937733108,2.4
128.535,28.4948653391846,-47.4047724848852,-0.154793968554832,-0.0294720312804538,-0.000880310408981302,0.0576130164774014,2.4
128.54,28.5067637112169,-47.4063309273699,-0.15360599092608,-0.0294766250414164,-0.000957471831797313,0.057585039181492,2.4
128.545,28.5186639098648,-47.407875359997,-0.15360599092608,-0.0294815797689764,-0.00102465541613148,0.0575633282904107,2.4
128.55,28.530564094195,-47.4094199029416,-0.152419168077071,-0.029486873946165,-0.00109325670026205,0.0575416173993294,2.4
128.555,28.5424660910193,-47.4109504164479,-0.152419168077071,-0.0294924869169514,-0.0011521325006566,0.0575259188990303,2.4
128.56,28.5543680775843,-47.4124810097334,-0.151233241355039,-0.0294983972698082,-0.00121221392253635,0.0575102203987311,2.4
128.565,28.5662718626496,-47.4139975522218,-0.151233241355039,-0.0295045844594934,-0.00126282816635505,0.0575002791770243,2.4
128.57,28.5781756412775,-47.4155141452386,-0.150047962594096,-0.0295110272048106,-0.00131443995008942,0.0574903379553175,2.4
128.575,28.5900812045156,-47.4170166644503,-0.150047962594096,-0.0295177050948627,-0.00135684829354982,0.0574858981316497,2.4
128.58,28.6019867649054,-47.4185192062317,-0.148863094159815,-0.0295245970025737,-0.00140005017335917,0.0574814583079819,2.4
128.585,28.613894096097,-47.4200076496785,-0.148863094159815,-0.0295316826738981,-0.00143431727921375,0.0574822635515671,2.4
